时间,币种,类型,方向,数量,价格,触发条件,执行状态,订单 ID
2025年12月12日 18:50,BTC,限价,卖出,0.03436,96030.0,0.0,挂单,266945766612
2025年12月12日 18:49,BTC,限价,卖出,0.02083,94749.0,0.0,挂单,266945640621
2025年12月12日 18:49,BTC,限价,卖出,0.021,93354.0,0.0,挂单,266945623332
2025年12月12日 06:57,BTC,限价,卖出,0.0342,97258.0,0.0,挂单,266463398177
2025年12月12日 06:56,BTC,限价,卖出,0.03436,96083.0,0.0,撤单,266463336279
2025年12月12日 06:56,BTC,限价,卖出,0.03436,96083.0,0.0,挂单,266463336279
2025年12月12日 06:56,BTC,限价,卖出,0.03436,95882.0,0.0,撤单,266463266127
2025年12月12日 06:56,BTC,限价,卖出,0.03436,95882.0,0.0,挂单,266463266127
2025年12月12日 06:56,BTC,限价,卖出,0.03436,96140.0,0.0,撤单,266463233123
2025年12月12日 06:56,BTC,限价,卖出,0.03436,96140.0,0.0,挂单,266463233123
2025年12月12日 06:56,BTC,限价,卖出,0.02083,94925.0,0.0,撤单,266463131976
2025年12月12日 06:56,BTC,限价,卖出,0.02083,94925.0,0.0,挂单,266463131976
2025年12月12日 06:56,BTC,限价,卖出,0.021,93413.0,0.0,撤单,266463081469
2025年12月12日 06:56,BTC,限价,卖出,0.021,93413.0,0.0,挂单,266463081469
2025年12月11日 15:42,BTC,限价,卖出,0.03436,96319.0,0.0,撤单,265708888555
2025年12月11日 15:42,BTC,限价,卖出,0.03436,96319.0,0.0,挂单,265708888555
2025年12月11日 15:42,BTC,限价,卖出,0.02083,95101.0,0.0,撤单,265708830144
2025年12月11日 15:42,BTC,限价,卖出,0.02083,95101.0,0.0,挂单,265708830144
2025年12月11日 15:42,BTC,限价,卖出,0.021,93657.0,0.0,撤单,265708725218
2025年12月11日 15:42,BTC,限价,卖出,0.021,93657.0,0.0,挂单,265708725218
2025年12月11日 03:11,BTC,限价,买入,0.0,91711.0,0.0,已成交,265052513292
2025年12月11日 03:11,BTC,限价,买入,0.0109,91711.0,0.0,挂单,265052513292
2025年12月11日 00:17,BTC,限价,卖出,0.03385,99075.0,0.0,挂单,264886330014
2025年12月11日 00:17,BTC,限价,卖出,0.0342,97448.0,0.0,撤单,264886215462
2025年12月11日 00:17,BTC,限价,卖出,0.0342,97448.0,0.0,挂单,264886215462
2025年12月11日 00:17,BTC,限价,卖出,0.03436,96671.0,0.0,撤单,264886123060
2025年12月11日 00:17,BTC,限价,卖出,0.03436,96671.0,0.0,挂单,264886123060
2025年12月11日 00:17,BTC,限价,卖出,0.02083,95796.0,0.0,撤单,264886083411
2025年12月11日 00:17,BTC,限价,卖出,0.02083,95796.0,0.0,挂单,264886083411
2025年12月11日 00:17,BTC,限价,卖出,0.021,94881.0,0.0,撤单,264886034963
2025年12月11日 00:17,BTC,限价,卖出,0.021,94881.0,0.0,挂单,264886034963
2025年12月10日 16:49,BTC,限价,买入,0.0109,91416.0,0.0,撤单,264515882923
2025年12月10日 16:49,BTC,限价,买入,0.0109,91416.0,0.0,挂单,264515882923
2025年12月10日 16:49,BTC,限价,买入,0.0,90909.0,0.0,已成交,264515858999
2025年12月10日 16:49,BTC,限价,买入,0.01097,90909.0,0.0,挂单,264515858999
2025年12月10日 15:59,BTC,限价,买入,0.01097,91111.0,0.0,撤单,264479753511
2025年12月10日 15:59,BTC,限价,买入,0.01097,91111.0,0.0,挂单,264479753511
2025年12月10日 15:59,BTC,限价,买入,0.0109,91666.0,0.0,撤单,264479703476
2025年12月10日 15:59,BTC,限价,买入,0.0109,91666.0,0.0,挂单,264479703476
2025年12月10日 15:58,BTC,限价,买入,0.0,92111.0,0.0,已成交,264479617043
2025年12月10日 15:58,BTC,限价,买入,0.01085,92111.0,0.0,挂单,264479617043
2025年12月10日 15:58,BTC,限价,买入,0.0,92683.0,0.0,已成交,264479353835
2025年12月10日 15:58,BTC,限价,买入,0.01078,92683.0,0.0,挂单,264479353835
2025年12月9日 04:40,BTC,限价,买入,0.0,90485.0,0.0,已成交,262808843401
2025年12月9日 04:40,BTC,限价,买入,0.00884,90485.0,0.0,挂单,262808843401
2025年12月9日 02:09,BTC,限价,买入,0.0,90393.0,0.0,已成交,262673833116
2025年12月9日 02:09,BTC,限价,买入,0.00995,90393.0,0.0,挂单,262673833116
2025年12月9日 02:06,BTC,限价,买入,0.0,90306.0,0.0,已成交,262670780657
2025年12月9日 02:06,BTC,限价,买入,0.00996,90306.0,0.0,挂单,262670780657
2025年12月8日 22:44,BTC,限价,买入,0.0,90777.0,0.0,已成交,262451523647
2025年12月8日 22:44,BTC,限价,买入,0.01101,90777.0,0.0,挂单,262451523647
2025年12月8日 18:37,BTC,限价,卖出,0.0342,97519.0,0.0,撤单,262245136677
2025年12月8日 18:37,BTC,限价,卖出,0.0342,97519.0,0.0,挂单,262245136677
2025年12月8日 18:37,BTC,限价,卖出,0.03401,98277.0,0.0,挂单,262245080348
2025年12月8日 18:37,BTC,限价,卖出,0.03385,99111.0,0.0,撤单,262244970876
2025年12月8日 18:37,BTC,限价,卖出,0.03385,99111.0,0.0,挂单,262244970876
2025年12月8日 18:37,BTC,限价,卖出,0.03378,99869.0,0.0,挂单,262244906734
2025年12月8日 18:37,BTC,限价,卖出,0.0337,100589.0,0.0,挂单,262244750058
2025年12月8日 18:37,BTC,限价,卖出,0.03366,101158.0,0.0,挂单,262244701989
2025年12月8日 18:18,BTC,限价,买入,0.0,88808.0,0.0,已成交,262231311677
2025年12月8日 18:18,BTC,限价,买入,0.03497,88808.0,0.0,挂单,262231311677
2025年12月8日 18:18,BTC,限价,买入,0.0,89911.0,0.0,已成交,262231168061
2025年12月8日 18:18,BTC,限价,买入,0.01825,89911.0,0.0,挂单,262231168061
2025年12月8日 18:18,BTC,限价,买入,0.01825,89838.0,0.0,撤单,262231051337
2025年12月8日 18:18,BTC,限价,买入,0.01825,89838.0,0.0,挂单,262231051337
2025年12月8日 18:18,BTC,限价,买入,0.0,91014.0,0.0,已成交,262230965144
2025年12月8日 18:18,BTC,限价,买入,0.01102,91014.0,0.0,挂单,262230965144
2025年12月8日 15:28,BTC,限价,买入,0.01102,90711.0,0.0,撤单,262095966156
2025年12月8日 15:28,BTC,限价,买入,0.01102,90711.0,0.0,挂单,262095966156
2025年12月8日 15:04,BTC,限价,买入,0.04864,83498.0,0.0,挂单,262079807190
2025年12月8日 15:04,BTC,限价,买入,0.04864,84025.0,0.0,挂单,262079787133
2025年12月8日 15:04,BTC,限价,买入,0.04864,84816.0,0.0,挂单,262079714925
2025年12月8日 15:04,BTC,限价,买入,0.048,85738.0,0.0,挂单,262079667578
2025年12月8日 15:04,BTC,限价,买入,0.04053,86845.0,0.0,挂单,262079588365
2025年12月8日 15:03,BTC,限价,买入,0.0,87742.0,0.0,已成交,262079478974
2025年12月8日 15:03,BTC,限价,买入,0.0352,87742.0,0.0,挂单,262079478974
2025年12月8日 15:03,BTC,限价,买入,0.03497,88559.0,0.0,撤单,262079323698
2025年12月8日 15:03,BTC,限价,买入,0.03497,88559.0,0.0,挂单,262079323698
